unit,en,cn
Unit 1 Love and Romance,prevailing,adj. 普遍的，盛行的
Unit 1 Love and Romance,swoon,v. 痴迷，为……神魂颠倒
Unit 1 Love and Romance,dynastic,adj. 王朝的
Unit 1 Love and Romance,foible,n. 怪癖，小缺点
Unit 1 Love and Romance,crutially,adv. 至关重要地
Unit 1 Love and Romance,aesthetic,adj. 艺术的，审美的
Unit 1 Love and Romance,lay ... at the door of,归咎于
Unit 1 Love and Romance,impediment,n. 阻碍，障碍
Unit 1 Love and Romance,impassioned,adj. 充满激情的，热烈的
Unit 1 Love and Romance,realism,n. 现实性，逼真
Unit 1 Love and Romance,narrative,n. 叙述，叙事
Unit 1 Love and Romance,unwittingly,adv. 无意地
Unit 1 Love and Romance,devilish,adj. 魔鬼般的
Unit 1 Love and Romance,cursed,adj. 被诅咒的
Unit 1 Love and Romance,convent,n. 修道院； 修女学校
Unit 1 Love and Romance,heady,adj. 令人陶醉的
Unit 1 Love and Romance,transcendent,adj. 卓越的，杰出的
Unit 1 Love and Romance,humdrum,adj. 单调的，乏味的
Unit 1 Love and Romance,domestic chores,家务活
Unit 1 Love and Romance,linen cupboard,日用织品橱柜
Unit 1 Love and Romance,clumsy,adj. 笨拙的
Unit 1 Love and Romance,embark,v. 开始，着手
Unit 1 Love and Romance,louche,adj. 名声狼藉的
Unit 1 Love and Romance,squarely,adj. 直截了当的
Unit 1 Love and Romance,wry,adj. 讽刺的；揶揄的
Unit 1 Love and Romance,delude,v. 欺骗
Unit 1 Love and Romance,rationable,n. 根本原因，逻辑依据
Unit 1 Love and Romance,banal,adj. 平庸的，乏味的
Unit 2 Fasion,apparent,adj. 显而易见
Unit 2 Fasion,compare with,与……相比
Unit 2 Fasion,trend,n. 趋势
Unit 2 Fasion,identify,v. 辨认
Unit 2 Fasion,manage with,用……对付过去
Unit 2 Fasion,hang over,搭在……之上
Unit 2 Fasion,agora,n. （古希腊）市场
Unit 2 Fasion,arrogance,n. 自负
Unit 2 Fasion,be entitled to,有……的资格
Unit 2 Fasion,luxury,n.奢侈，奢侈品
Unit 2 Fasion,inform about,通知，告知
Unit 2 Fasion,dominate,v. 支配，占优势
Unit 2 Fasion,in a heartbeat,立即
Unit 2 Fasion,authentic,adj. 真实的，可靠的
Unit 2 Fasion,inherent,adj. 固有的
Unit 2 Fasion,show off,炫耀
Unit 2 Fasion,stand out,突出
Unit 2 Fasion,in debt to,欠债
Unit 2 Fasion,corset,n. 紧身内衣
Unit 2 Fasion,bourgeoisie,n. 资产阶级，中产阶级
Unit 2 Fasion,Rococo,n. 洛可可风格
Unit 2 Fasion,pastel,adj. 清淡的，柔和的
Unit 2 Fasion,hallmark,n. 标志
Unit 2 Fasion,Haute Couture,高级定制时装
Unit 2 Fasion,boutique,n. 精品
Unit 2 Fasion,prosper,v. 繁盛
Unit 2 Fasion,break out,爆发
Unit 2 Fasion,indispensable,adj. 不可缺少的
Unit 2 Fasion,cliché,n. 陈词滥调
Unit 2 Fasion,turn/stand on its head,倒立，完全相反
Unit 2 Fasion,remind of,使……想起
Unit 2 Fasion,obsolete,adj. 过时的
Unit 2 Fasion,incorporate,v. 吸收，合并
Unit 3 Jobs & Careers,delve into,探究
Unit 3 Jobs & Careers,eclectic,adj. 广泛的
Unit 3 Jobs & Careers,stall,n. 摊位
Unit 3 Jobs & Careers,cuisine,n. 美食
Unit 3 Jobs & Careers,starter,n. 创业者
Unit 3 Jobs & Careers,hit the scene,登场
Unit 3 Jobs & Careers,rut,n. 车辙
Unit 3 Jobs & Careers,stuck in a rut,刻板乏味
Unit 3 Jobs & Careers,regular,n. 常备军
Unit 3 Jobs & Careers,be frustrated with,对……感到沮丧
Unit 3 Jobs & Careers,navigate,v. 找到正确的方法（对付困难的情况）
Unit 3 Jobs & Careers,clutter,n. 杂乱
Unit 3 Jobs & Careers,spot,v. 发现
Unit 3 Jobs & Careers,directory listing,目录列表
Unit 3 Jobs & Careers,foray,n. 尝试
Unit 3 Jobs & Careers,array,n. 一批
Unit 3 Jobs & Careers,take off,流行
Unit 3 Jobs & Careers,renovate,v. 整修
Unit 3 Jobs & Careers,cosy,adj. 温馨的
Unit 3 Jobs & Careers,ambience,n. 气氛
Unit 3 Jobs & Careers,join force with,联手
Unit 3 Jobs & Careers,acquire,v. 收购
Unit 3 Jobs & Careers,affordable,adj. 买得起
Unit 3 Jobs & Careers,hawker fare,街头小吃
Unit 3 Jobs & Careers,twist,n. 结合
Unit 3 Jobs & Careers,flow in,汇入
Unit 3 Jobs & Careers,take a leap of faith,放手一搏
Unit 3 Jobs & Careers,naysayer,n. 反对者
Unit 3 Jobs & Careers,junkie,n. 对……上瘾的人
Unit 3 Jobs & Careers,pay heed to,关注
